FedEx Ground Standard List Rates,,,,,,,,,,,,,,,,,,
"Effective January 2, 2006",,,,,,,,,,,,,,,,,,

Weight,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,To Puerto Rico,Intra Oahu,To Alaska,To Canada,To Canada,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 14,Zone 17,Zone 51,Zone 54,Zone 92,Zone 96,Zone 22,Zone 23,Zone 25
20,$6.32 ,$7.12 ,$7.43 ,$8.59 ,$10.83 ,$13.01 ,$15.30 ,$46.03 ,$46.03 ,$5.00 ,$46.03 ,$22.35 ,$31.55 ,$26.10 ,$28.56 ,$6.27 ,$26.10 ,$28.56 
21,$6.47 ,$7.34 ,$7.67 ,$8.95 ,$11.27 ,$13.53 ,$15.97 ,$47.40 ,$47.40 ,$5.04 ,$47.40 ,$23.05 ,$32.60 ,$27.03 ,$29.78 ,$6.40 ,$27.03 ,$29.78 
22,$6.61 ,$7.56 ,$7.94 ,$9.29 ,$11.73 ,$14.06 ,$16.63 ,$48.87 ,$48.87 ,$5.08 ,$48.87 ,$23.75 ,$33.65 ,$27.89 ,$30.94 ,$6.56 ,$27.89 ,$30.94 
23,$6.78 ,$7.78 ,$8.20 ,$9.63 ,$12.17 ,$14.57 ,$17.31 ,$50.51 ,$50.51 ,$5.12 ,$50.51 ,$24.50 ,$34.65 ,$28.77 ,$32.12 ,$6.71 ,$28.77 ,$32.12 
24,$6.94 ,$7.98 ,$8.47 ,$9.94 ,$12.63 ,$15.11 ,$17.98 ,$52.16 ,$52.16 ,$5.18 ,$52.16 ,$25.15 ,$35.60 ,$29.64 ,$33.29 ,$6.88 ,$29.64 ,$33.29 
25,$7.10 ,$8.20 ,$8.74 ,$10.24 ,$13.08 ,$15.65 ,$18.65 ,$53.81 ,$53.81 ,$5.26 ,$53.81 ,$25.90 ,$36.65 ,$30.59 ,$34.44 ,$7.03 ,$30.59 ,$34.44 
26,$7.28 ,$8.39 ,$8.99 ,$10.56 ,$13.54 ,$16.14 ,$19.29 ,$55.64 ,$55.64 ,$5.30 ,$55.64 ,$26.65 ,$37.70 ,$31.53 ,$35.55 ,$7.21 ,$31.53 ,$35.55 
27,$7.44 ,$8.57 ,$9.24 ,$10.87 ,$13.99 ,$16.63 ,$19.93 ,$57.20 ,$57.20 ,$5.35 ,$57.20 ,$27.30 ,$38.65 ,$32.44 ,$36.65 ,$7.37 ,$32.44 ,$36.65 
28,$7.60 ,$8.77 ,$9.52 ,$11.19 ,$14.44 ,$17.13 ,$20.60 ,$58.74 ,$58.74 ,$5.39 ,$58.74 ,$27.95 ,$39.60 ,$33.39 ,$37.77 ,$7.52 ,$33.39 ,$37.77 
29,$7.76 ,$8.96 ,$9.79 ,$11.52 ,$14.89 ,$17.68 ,$21.25 ,$60.40 ,$60.40 ,$5.43 ,$60.40 ,$28.65 ,$40.55 ,$34.32 ,$38.86 ,$7.69 ,$34.32 ,$38.86 
