FedEx Express U.S. Package Standard List Rates: FedEx 2Day®,,,,,,,,,,
"Effective January 2, 2006",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
42,$31.10 ,$37.00 ,$46.70 ,$63.60 ,$95.95 ,$103.20 ,$106.15 ,$107.85 ,$110.35 ,$71.45 
43,$31.70 ,$37.75 ,$47.40 ,$64.65 ,$97.60 ,$105.15 ,$108.10 ,$109.80 ,$113.05 ,$72.85 
44,$32.25 ,$38.25 ,$48.75 ,$65.80 ,$99.55 ,$107.00 ,$110.25 ,$112.00 ,$115.00 ,$74.15 
45,$32.95 ,$39.10 ,$49.25 ,$66.75 ,$101.50 ,$109.05 ,$111.90 ,$113.65 ,$117.15 ,$75.35 
46,$33.45 ,$39.60 ,$50.30 ,$67.80 ,$103.45 ,$111.25 ,$114.60 ,$116.40 ,$119.55 ,$76.50 
47,$34.00 ,$40.40 ,$51.05 ,$68.70 ,$105.40 ,$113.95 ,$116.75 ,$118.60 ,$122.25 ,$77.60 
48,$34.80 ,$41.25 ,$51.95 ,$69.75 ,$107.45 ,$115.90 ,$118.70 ,$120.60 ,$124.30 ,$79.20 
49,$35.40 ,$42.25 ,$53.00 ,$71.00 ,$109.05 ,$118.05 ,$121.00 ,$122.90 ,$126.75 ,$80.60 
50,$35.95 ,$42.80 ,$53.70 ,$72.15 ,$111.00 ,$120.00 ,$122.95 ,$124.90 ,$129.15 ,$82.15 
51,$36.45 ,$43.30 ,$54.55 ,$73.20 ,$113.20 ,$122.05 ,$125.00 ,$127.00 ,$131.60 ,$83.55 
52,$36.95 ,$44.00 ,$55.60 ,$74.95 ,$114.90 ,$123.90 ,$127.25 ,$129.25 ,$134.30 ,$84.60 
53,$37.70 ,$44.85 ,$56.30 ,$76.10 ,$116.75 ,$125.85 ,$128.80 ,$130.85 ,$136.70 ,$86.10 
54,$38.20 ,$45.55 ,$57.25 ,$77.25 ,$118.40 ,$127.80 ,$130.75 ,$132.80 ,$139.05 ,$87.20 
55,$39.00 ,$46.50 ,$57.95 ,$78.60 ,$120.45 ,$129.85 ,$132.70 ,$134.80 ,$141.10 ,$88.60 
56,$39.55 ,$46.90 ,$58.80 ,$79.85 ,$122.05 ,$132.15 ,$135.05 ,$137.20 ,$143.60 ,$89.65 
57,$40.05 ,$47.70 ,$59.80 ,$81.00 ,$123.90 ,$134.30 ,$137.55 ,$139.70 ,$146.25 ,$90.85 
58,$40.65 ,$48.55 ,$60.85 ,$82.35 ,$126.20 ,$136.25 ,$139.65 ,$141.85 ,$148.45 ,$92.90 
59,$41.20 ,$49.05 ,$61.90 ,$83.80 ,$128.25 ,$138.55 ,$141.90 ,$144.15 ,$150.70 ,$94.20 
60,$41.70 ,$49.55 ,$63.00 ,$84.95 ,$129.85 ,$140.80 ,$143.65 ,$145.90 ,$153.15 ,$95.30 
61,$42.40 ,$50.30 ,$63.75 ,$86.10 ,$131.80 ,$142.90 ,$146.00 ,$148.30 ,$155.20 ,$96.55 
62,$43.45 ,$51.20 ,$64.55 ,$87.45 ,$133.65 ,$145.35 ,$148.50 ,$150.85 ,$157.70 ,$98.20 
63,$43.95 ,$51.95 ,$65.30 ,$88.70 ,$135.60 ,$147.65 ,$151.35 ,$153.75 ,$160.60 ,$99.25 
64,$44.75 ,$52.75 ,$66.10 ,$89.85 ,$137.55 ,$149.90 ,$153.40 ,$155.80 ,$163.10 ,$101.00 
65,$45.30 ,$53.50 ,$67.15 ,$91.20 ,$139.65 ,$152.30 ,$156.20 ,$158.65 ,$165.15 ,$102.30 
66,$45.90 ,$54.00 ,$68.30 ,$92.65 ,$141.90 ,$154.25 ,$158.80 ,$161.30 ,$167.85 ,$104.00 
67,$46.40 ,$55.05 ,$69.30 ,$94.15 ,$143.65 ,$156.40 ,$161.10 ,$163.65 ,$170.40 ,$105.20 
68,$46.95 ,$55.55 ,$70.35 ,$95.80 ,$146.00 ,$158.80 ,$163.15 ,$165.70 ,$172.60 ,$106.80 
69,$47.65 ,$56.35 ,$71.40 ,$97.55 ,$147.95 ,$161.10 ,$165.95 ,$168.55 ,$175.25 ,$108.55 
70,$48.15 ,$57.20 ,$72.10 ,$99.25 ,$150.25 ,$163.15 ,$167.80 ,$170.45 ,$177.65 ,$109.75 
71,$49.00 ,$58.00 ,$73.05 ,$100.60 ,$152.50 ,$165.50 ,$170.05 ,$172.75 ,$179.80 ,$111.25 
72,$49.50 ,$59.05 ,$74.10 ,$102.15 ,$154.80 ,$167.80 ,$172.55 ,$175.25 ,$182.70 ,$112.40 
73,$50.00 ,$59.55 ,$75.10 ,$103.80 ,$156.75 ,$169.65 ,$174.50 ,$177.25 ,$185.20 ,$114.45 
74,$50.55 ,$60.25 ,$76.15 ,$105.15 ,$159.15 ,$172.00 ,$177.20 ,$180.00 ,$187.90 ,$115.75 
75,$51.35 ,$61.30 ,$77.20 ,$106.60 ,$160.65 ,$173.95 ,$179.50 ,$182.35 ,$190.05 ,$117.15 
76,$51.85 ,$61.90 ,$77.90 ,$107.85 ,$160.65 ,$175.90 ,$181.45 ,$184.30 ,$192.30 ,$118.45 
77,$52.70 ,$62.75 ,$79.05 ,$109.25 ,$164.55 ,$178.30 ,$183.70 ,$186.60 ,$195.35 ,$119.85 
78,$53.20 ,$63.25 ,$80.05 ,$110.80 ,$166.95 ,$180.45 ,$183.70 ,$188.10 ,$197.40 ,$121.50 
79,$53.90 ,$64.00 ,$81.40 ,$112.35 ,$169.10 ,$182.75 ,$188.25 ,$191.20 ,$199.85 ,$123.20 
80,$54.75 ,$64.80 ,$82.45 ,$113.80 ,$170.70 ,$185.00 ,$190.55 ,$193.55 ,$202.45 ,$124.30 
81,$55.25 ,$65.50 ,$83.15 ,$115.25 ,$172.55 ,$186.95 ,$192.50 ,$195.55 ,$204.70 ,$125.90 
82,$55.75 ,$66.35 ,$84.10 ,$116.75 ,$174.50 ,$189.55 ,$195.10 ,$198.15 ,$207.30 ,$127.10 
83,$56.30 ,$67.05 ,$85.15 ,$117.75 ,$176.55 ,$191.50 ,$197.35 ,$200.45 ,$210.00 ,$128.80 
84,$57.10 ,$68.20 ,$85.85 ,$118.80 ,$178.50 ,$193.90 ,$199.30 ,$202.45 ,$212.05 ,$130.20 
85,$57.60 ,$69.00 ,$86.90 ,$120.70 ,$180.45 ,$195.75 ,$201.50 ,$204.65 ,$214.50 ,$131.60 
86,$58.45 ,$69.55 ,$87.95 ,$122.15 ,$182.30 ,$197.70 ,$203.85 ,$207.05 ,$217.20 ,$132.80 
87,$58.95 ,$70.25 ,$88.95 ,$123.50 ,$184.35 ,$199.55 ,$205.80 ,$209.05 ,$219.90 ,$134.65 
88,$59.45 ,$71.10 ,$89.90 ,$124.65 ,$186.30 ,$201.90 ,$208.10 ,$211.40 ,$222.05 ,$136.35 
89,$60.20 ,$71.60 ,$90.90 ,$125.80 ,$188.25 ,$204.20 ,$210.70 ,$214.00 ,$224.65 ,$137.55 
90,$61.00 ,$72.30 ,$91.65 ,$127.15 ,$190.55 ,$206.15 ,$212.95 ,$216.30 ,$227.15 ,$139.05 
91,$61.85 ,$73.25 ,$92.45 ,$128.70 ,$192.50 ,$208.75 ,$215.25 ,$218.65 ,$229.50 ,$140.35 
92,$62.65 ,$73.95 ,$93.50 ,$130.05 ,$194.45 ,$211.00 ,$217.50 ,$220.90 ,$232.20 ,$141.75 
93,$63.15 ,$75.00 ,$94.65 ,$131.20 ,$196.60 ,$212.95 ,$219.60 ,$223.05 ,$234.55 ,$143.35 
94,$63.70 ,$75.50 ,$95.70 ,$132.35 ,$198.55 ,$215.05 ,$222.05 ,$225.55 ,$236.95 ,$145.10 
95,$64.20 ,$76.35 ,$96.70 ,$133.80 ,$200.60 ,$217.20 ,$223.90 ,$227.40 ,$239.30 ,$146.25 
96,$64.70 ,$76.85 ,$97.75 ,$134.95 ,$202.25 ,$219.60 ,$226.30 ,$229.85 ,$241.80 ,$147.65 
97,$65.45 ,$77.55 ,$98.45 ,$136.00 ,$204.20 ,$221.40 ,$228.45 ,$232.05 ,$244.40 ,$148.95 
98,$65.95 ,$78.20 ,$99.30 ,$137.55 ,$206.15 ,$223.35 ,$230.40 ,$234.00 ,$246.85 ,$150.70 
99,$66.45 ,$78.70 ,$100.00 ,$138.90 ,$208.10 ,$225.55 ,$232.45 ,$236.10 ,$249.10 ,$152.00 
100,$68.00 ,$79.00 ,$100.00 ,$139.00 ,$210.00 ,$226.00 ,$234.00 ,$238.00 ,$251.00 ,$153.00 
101,$68.68 ,$79.79 ,$101.00 ,$140.39 ,$212.10 ,$228.26 ,$236.34 ,$240.38 ,$253.51 ,$154.53 
102,$69.36 ,$80.58 ,$102.00 ,$141.78 ,$214.20 ,$230.52 ,$238.68 ,$242.76 ,$256.02 ,$156.06 
103,$70.04 ,$81.37 ,$103.00 ,$143.17 ,$216.30 ,$232.78 ,$241.02 ,$245.14 ,$258.53 ,$157.59 
104,$70.72 ,$82.16 ,$104.00 ,$144.56 ,$218.40 ,$235.04 ,$243.36 ,$247.52 ,$261.04 ,$159.12 
105,$71.40 ,$82.95 ,$105.00 ,$145.95 ,$220.50 ,$237.30 ,$245.70 ,$249.90 ,$263.55 ,$160.65 
106,$72.08 ,$83.74 ,$106.00 ,$147.34 ,$222.60 ,$239.56 ,$248.04 ,$252.28 ,$266.06 ,$162.18 
107,$72.76 ,$84.53 ,$107.00 ,$148.73 ,$224.70 ,$241.82 ,$250.38 ,$254.66 ,$268.57 ,$163.71 
108,$73.44 ,$85.32 ,$108.00 ,$150.12 ,$226.80 ,$244.08 ,$252.72 ,$257.04 ,$271.08 ,$165.24 
109,$74.12 ,$86.11 ,$109.00 ,$151.51 ,$228.90 ,$246.34 ,$255.06 ,$259.42 ,$273.59 ,$166.77 
110,$74.80 ,$86.90 ,$110.00 ,$152.90 ,$231.00 ,$248.60 ,$257.40 ,$261.80 ,$276.10 ,$168.30 
111,$75.48 ,$87.69 ,$111.00 ,$154.29 ,$233.10 ,$250.86 ,$259.74 ,$264.18 ,$278.61 ,$169.83 
112,$76.16 ,$88.48 ,$112.00 ,$155.68 ,$235.20 ,$253.12 ,$262.08 ,$266.56 ,$281.12 ,$171.36 
113,$76.84 ,$89.27 ,$113.00 ,$157.07 ,$237.30 ,$255.38 ,$264.42 ,$268.94 ,$283.63 ,$172.89 
114,$77.52 ,$90.06 ,$114.00 ,$158.46 ,$239.40 ,$257.64 ,$266.76 ,$271.32 ,$286.14 ,$174.42 
115,$78.20 ,$90.85 ,$115.00 ,$159.85 ,$241.50 ,$259.90 ,$269.10 ,$273.70 ,$288.65 ,$175.95 
116,$78.88 ,$91.64 ,$116.00 ,$161.24 ,$243.60 ,$262.16 ,$271.44 ,$276.08 ,$291.16 ,$177.48 
117,$79.56 ,$92.43 ,$117.00 ,$162.63 ,$245.70 ,$264.42 ,$273.78 ,$278.46 ,$293.67 ,$179.01 
118,$80.24 ,$93.22 ,$118.00 ,$164.02 ,$247.80 ,$266.68 ,$276.12 ,$280.84 ,$296.18 ,$180.54 
119,$80.92 ,$94.01 ,$119.00 ,$165.41 ,$249.90 ,$268.94 ,$278.46 ,$283.22 ,$298.69 ,$182.07 
120,$81.60 ,$94.80 ,$120.00 ,$166.80 ,$252.00 ,$271.20 ,$280.80 ,$285.60 ,$301.20 ,$183.60 
121,$82.28 ,$95.59 ,$121.00 ,$168.19 ,$254.10 ,$273.46 ,$283.14 ,$287.98 ,$303.71 ,$185.13 
122,$82.96 ,$96.38 ,$122.00 ,$169.58 ,$256.20 ,$275.72 ,$285.48 ,$290.36 ,$306.22 ,$186.66 
123,$83.64 ,$97.17 ,$123.00 ,$170.97 ,$258.30 ,$277.98 ,$287.82 ,$292.74 ,$308.73 ,$188.19 
124,$84.32 ,$97.96 ,$124.00 ,$172.36 ,$260.40 ,$280.24 ,$290.16 ,$295.12 ,$311.24 ,$189.72 
125,$85.00 ,$98.75 ,$125.00 ,$173.75 ,$262.50 ,$282.50 ,$292.50 ,$297.50 ,$313.75 ,$191.25 
126,$85.68 ,$99.54 ,$126.00 ,$175.14 ,$264.60 ,$284.76 ,$294.84 ,$299.88 ,$316.26 ,$192.78 
127,$86.36 ,$100.33 ,$127.00 ,$176.53 ,$266.70 ,$287.02 ,$297.18 ,$302.26 ,$318.77 ,$194.31 
128,$87.04 ,$101.12 ,$128.00 ,$177.92 ,$268.80 ,$289.28 ,$299.52 ,$304.64 ,$321.28 ,$195.84 
129,$87.72 ,$101.91 ,$129.00 ,$179.31 ,$270.90 ,$291.54 ,$301.86 ,$307.02 ,$323.79 ,$197.37 
130,$88.40 ,$102.70 ,$130.00 ,$180.70 ,$273.00 ,$293.80 ,$304.20 ,$309.40 ,$326.30 ,$198.90 
131,$89.08 ,$103.49 ,$131.00 ,$182.09 ,$275.10 ,$296.06 ,$306.54 ,$311.78 ,$328.81 ,$200.43 
132,$89.76 ,$104.28 ,$132.00 ,$183.48 ,$277.20 ,$298.32 ,$308.88 ,$314.16 ,$331.32 ,$201.96 
133,$90.44 ,$105.07 ,$133.00 ,$184.87 ,$279.30 ,$300.58 ,$311.22 ,$316.54 ,$333.83 ,$203.49 
134,$91.12 ,$105.86 ,$134.00 ,$186.26 ,$281.40 ,$302.84 ,$313.56 ,$318.92 ,$336.34 ,$205.02 
135,$91.80 ,$106.65 ,$135.00 ,$187.65 ,$283.50 ,$305.10 ,$315.90 ,$321.30 ,$338.85 ,$206.55 
136,$92.48 ,$107.44 ,$136.00 ,$189.04 ,$285.60 ,$307.36 ,$318.24 ,$323.68 ,$341.36 ,$208.08 
137,$93.16 ,$108.23 ,$137.00 ,$190.43 ,$287.70 ,$309.62 ,$320.58 ,$326.06 ,$343.87 ,$209.61 
138,$93.84 ,$109.02 ,$138.00 ,$191.82 ,$289.80 ,$311.88 ,$322.92 ,$328.44 ,$346.38 ,$211.14 
139,$94.52 ,$109.81 ,$139.00 ,$193.21 ,$291.90 ,$314.14 ,$325.26 ,$330.82 ,$348.89 ,$212.67 
140,$95.20 ,$110.60 ,$140.00 ,$194.60 ,$294.00 ,$316.40 ,$327.60 ,$333.20 ,$351.40 ,$214.20 
141,$95.88 ,$111.39 ,$141.00 ,$195.99 ,$296.10 ,$318.66 ,$329.94 ,$335.58 ,$353.91 ,$215.73 
142,$96.56 ,$112.18 ,$142.00 ,$197.38 ,$298.20 ,$320.92 ,$332.28 ,$337.96 ,$356.42 ,$217.26 
143,$97.24 ,$112.97 ,$143.00 ,$198.77 ,$300.30 ,$323.18 ,$334.62 ,$340.34 ,$358.93 ,$218.79 
144,$97.92 ,$113.76 ,$144.00 ,$200.16 ,$302.40 ,$325.44 ,$336.96 ,$342.72 ,$361.44 ,$220.32 
145,$98.60 ,$114.55 ,$145.00 ,$201.55 ,$304.50 ,$327.70 ,$339.30 ,$345.10 ,$363.95 ,$221.85 
146,$99.28 ,$115.34 ,$146.00 ,$202.94 ,$306.60 ,$329.96 ,$341.64 ,$347.48 ,$366.46 ,$223.38 
147,$99.96 ,$116.13 ,$147.00 ,$204.33 ,$308.70 ,$332.22 ,$343.98 ,$349.86 ,$368.97 ,$224.91 
148,$100.64 ,$116.92 ,$148.00 ,$205.72 ,$310.80 ,$334.48 ,$346.32 ,$352.24 ,$371.48 ,$226.44 
149,$101.32 ,$117.71 ,$149.00 ,$207.11 ,$312.90 ,$336.74 ,$348.66 ,$354.62 ,$373.99 ,$227.97 
150,$102.00 ,$118.50 ,$150.00 ,$208.50 ,$315.00 ,$339.00 ,$351.00 ,$357.00 ,$376.50 ,$229.50 


Hundredweight/Per-Pound Rates (multiply by total shipment weight),,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
100-499,$0.68 ,$0.79 ,$1.00 ,$1.39 ,$2.10 ,$2.26 ,$2.34 ,$2.38 ,$2.51 ,$1.53 
500-999,$0.66 ,$0.77 ,$0.98 ,$1.37 ,$2.08 ,$2.24 ,$2.32 ,$2.36 ,$2.49 ,$1.51 
1000-1999,$0.64 ,$0.75 ,$0.96 ,$1.35 ,$2.06 ,$2.22 ,$2.30 ,$2.34 ,$2.47 ,$1.49 
2000+,$0.62 ,$0.73 ,$0.94 ,$1.33 ,$2.04 ,$2.20 ,$2.28 ,$2.32 ,$2.45 ,$1.47 

See the FedEx Service Guide for additional fee and surcharge information. ,,,,,,,,,,
