FedEx Express U.S. Package Standard List Rates: FedEx Express Saver®,,,,,,,,,,
"Effective January 2, 2006",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
53,$35.85 ,$41.80 ,$51.55 ,$64.40 ,$88.95 ,$95.75 ,$105.95 ,-,-,-
54,$36.30 ,$42.60 ,$52.35 ,$65.35 ,$90.15 ,$97.30 ,$107.65 ,-,-,-
55,$36.95 ,$43.25 ,$53.00 ,$66.55 ,$91.70 ,$98.75 ,$109.15 ,-,-,-
56,$37.45 ,$43.70 ,$53.80 ,$67.60 ,$93.05 ,$100.55 ,$111.15 ,-,-,-
57,$38.15 ,$44.35 ,$54.80 ,$68.60 ,$94.45 ,$102.25 ,$113.05 ,-,-,-
58,$38.60 ,$45.00 ,$55.55 ,$69.70 ,$96.05 ,$103.80 ,$114.70 ,-,-,-
59,$39.15 ,$45.60 ,$56.65 ,$70.80 ,$97.45 ,$105.35 ,$116.55 ,-,-,-
60,$39.60 ,$46.15 ,$57.50 ,$71.80 ,$98.40 ,$107.20 ,$118.30 ,-,-,-
61,$40.35 ,$46.80 ,$58.30 ,$72.75 ,$100.30 ,$108.80 ,$120.20 ,-,-,-
62,$41.15 ,$47.65 ,$59.00 ,$74.05 ,$101.90 ,$110.55 ,$122.25 ,-,-,-
63,$41.85 ,$48.35 ,$59.70 ,$74.95 ,$103.15 ,$112.30 ,$124.40 ,-,-,-
64,$42.40 ,$49.00 ,$60.40 ,$76.00 ,$104.80 ,$114.15 ,$126.35 ,-,-,-
65,$42.95 ,$49.70 ,$61.45 ,$77.25 ,$106.20 ,$115.80 ,$128.45 ,-,-,-
66,$43.45 ,$50.30 ,$62.45 ,$78.35 ,$108.00 ,$117.45 ,$130.50 ,-,-,-
67,$43.95 ,$51.25 ,$63.20 ,$79.70 ,$109.55 ,$119.15 ,$132.35 ,-,-,-
68,$44.45 ,$51.90 ,$64.20 ,$81.10 ,$111.05 ,$120.80 ,$134.35 ,-,-,-
69,$45.15 ,$52.55 ,$65.15 ,$82.40 ,$112.70 ,$122.60 ,$136.30 ,-,-,-
70,$45.70 ,$53.20 ,$65.95 ,$83.80 ,$114.45 ,$124.20 ,$138.05 ,-,-,-
71,$46.35 ,$54.05 ,$66.70 ,$85.15 ,$116.15 ,$126.05 ,$139.90 ,-,-,-
72,$46.95 ,$54.85 ,$67.70 ,$86.40 ,$117.95 ,$127.55 ,$141.80 ,-,-,-
73,$47.45 ,$55.55 ,$68.65 ,$87.85 ,$119.45 ,$129.30 ,$143.70 ,-,-,-
74,$47.95 ,$56.10 ,$69.60 ,$89.00 ,$120.90 ,$130.95 ,$145.55 ,-,-,-
75,$48.65 ,$56.95 ,$70.65 ,$90.10 ,$122.15 ,$132.45 ,$147.55 ,-,-,-
76,$49.30 ,$57.65 ,$71.35 ,$91.25 ,$123.70 ,$133.95 ,$149.15 ,-,-,-
77,$49.95 ,$58.30 ,$72.15 ,$92.30 ,$125.20 ,$135.55 ,$151.10 ,-,-,-
78,$50.45 ,$58.95 ,$73.15 ,$93.45 ,$126.90 ,$137.30 ,$153.00 ,-,-,-
79,$51.15 ,$59.70 ,$74.30 ,$95.00 ,$128.60 ,$139.10 ,$154.65 ,-,-,-
80,$51.95 ,$60.35 ,$75.25 ,$96.30 ,$130.05 ,$140.65 ,$156.60 ,-,-,-
81,$52.45 ,$61.05 ,$76.10 ,$97.40 ,$131.50 ,$142.30 ,$158.25 ,-,-,-
82,$52.95 ,$61.75 ,$76.80 ,$98.55 ,$132.95 ,$144.20 ,$160.30 ,-,-,-
83,$53.45 ,$62.45 ,$77.80 ,$99.55 ,$134.50 ,$145.65 ,$162.25 ,-,-,-
84,$54.20 ,$63.30 ,$78.60 ,$100.55 ,$135.75 ,$147.45 ,$163.85 ,-,-,-
85,$54.75 ,$64.00 ,$79.60 ,$101.95 ,$137.30 ,$148.80 ,$165.75 ,-,-,-
86,$55.25 ,$64.65 ,$80.50 ,$103.20 ,$138.80 ,$150.35 ,$167.65 ,-,-,-
87,$55.75 ,$65.30 ,$81.55 ,$104.30 ,$140.30 ,$151.80 ,$169.20 ,-,-,-
88,$56.50 ,$66.00 ,$82.20 ,$105.45 ,$141.80 ,$153.50 ,$171.15 ,-,-,-
89,$57.15 ,$66.65 ,$82.95 ,$106.50 ,$143.40 ,$155.30 ,$173.00 ,-,-,-
90,$57.80 ,$67.25 ,$83.80 ,$107.60 ,$144.80 ,$156.95 ,$174.90 ,-,-,-
91,$58.55 ,$68.10 ,$84.60 ,$108.75 ,$146.35 ,$158.70 ,$176.85 ,-,-,-
92,$59.30 ,$68.75 ,$85.40 ,$109.85 ,$148.05 ,$160.40 ,$178.80 ,-,-,-
93,$59.80 ,$69.60 ,$86.35 ,$110.90 ,$149.70 ,$161.95 ,$180.40 ,-,-,-
94,$60.30 ,$70.30 ,$87.35 ,$111.90 ,$151.10 ,$163.55 ,$182.45 ,-,-,-
95,$60.75 ,$70.95 ,$88.30 ,$113.05 ,$152.70 ,$165.30 ,$184.05 ,-,-,-
96,$61.25 ,$71.50 ,$89.25 ,$114.10 ,$153.90 ,$166.90 ,$186.00 ,-,-,-
97,$62.00 ,$72.20 ,$90.05 ,$115.10 ,$155.40 ,$168.40 ,$187.85 ,-,-,-
98,$62.60 ,$72.85 ,$90.80 ,$116.25 ,$156.70 ,$169.95 ,$189.45 ,-,-,-
99,$63.05 ,$73.30 ,$91.10 ,$117.35 ,$158.25 ,$171.55 ,$191.00 ,-,-,-
100,$64.00 ,$74.00 ,$92.00 ,$118.00 ,$159.00 ,$173.00 ,$192.00 ,-,-,-
101,$64.64 ,$74.74 ,$92.92 ,$119.18 ,$160.59 ,$174.73 ,$193.92 ,-,-,-
102,$65.28 ,$75.48 ,$93.84 ,$120.36 ,$162.18 ,$176.46 ,$195.84 ,-,-,-
103,$65.92 ,$76.22 ,$94.76 ,$121.54 ,$163.77 ,$178.19 ,$197.76 ,-,-,-
104,$66.56 ,$76.96 ,$95.68 ,$122.72 ,$165.36 ,$179.92 ,$199.68 ,-,-,-
105,$67.20 ,$77.70 ,$96.60 ,$123.90 ,$166.95 ,$181.65 ,$201.60 ,-,-,-
106,$67.84 ,$78.44 ,$97.52 ,$125.08 ,$168.54 ,$183.38 ,$203.52 ,-,-,-
107,$68.48 ,$79.18 ,$98.44 ,$126.26 ,$170.13 ,$185.11 ,$205.44 ,-,-,-
108,$69.12 ,$79.92 ,$99.36 ,$127.44 ,$171.72 ,$186.84 ,$207.36 ,-,-,-
109,$69.76 ,$80.66 ,$100.28 ,$128.62 ,$173.31 ,$188.57 ,$209.28 ,-,-,-
110,$70.40 ,$81.40 ,$101.20 ,$129.80 ,$174.90 ,$190.30 ,$211.20 ,-,-,-
111,$71.04 ,$82.14 ,$102.12 ,$130.98 ,$176.49 ,$192.03 ,$213.12 ,-,-,-
112,$71.68 ,$82.88 ,$103.04 ,$132.16 ,$178.08 ,$193.76 ,$215.04 ,-,-,-
113,$72.32 ,$83.62 ,$103.96 ,$133.34 ,$179.67 ,$195.49 ,$216.96 ,-,-,-
114,$72.96 ,$84.36 ,$104.88 ,$134.52 ,$181.26 ,$197.22 ,$218.88 ,-,-,-
115,$73.60 ,$85.10 ,$105.80 ,$135.70 ,$182.85 ,$198.95 ,$220.80 ,-,-,-
116,$74.24 ,$85.84 ,$106.72 ,$136.88 ,$184.44 ,$200.68 ,$222.72 ,-,-,-
117,$74.88 ,$86.58 ,$107.64 ,$138.06 ,$186.03 ,$202.41 ,$224.64 ,-,-,-
118,$75.52 ,$87.32 ,$108.56 ,$139.24 ,$187.62 ,$204.14 ,$226.56 ,-,-,-
119,$76.16 ,$88.06 ,$109.48 ,$140.42 ,$189.21 ,$205.87 ,$228.48 ,-,-,-
