FedEx Express U.S. Package Standard List Rates: FedEx Priority Overnight®,,,,,,,,,,
"Effective January 2, 2006",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
42,$55.70 ,$73.05 ,$122.20 ,$133.65 ,$141.10 ,$145.15 ,$150.30 ,$152.55 ,$157.10 ,$123.70 
43,$56.75 ,$74.60 ,$124.55 ,$135.50 ,$143.25 ,$147.60 ,$153.30 ,$155.60 ,$159.55 ,$125.30 
44,$57.80 ,$75.90 ,$126.90 ,$137.85 ,$146.25 ,$150.05 ,$155.45 ,$157.75 ,$162.50 ,$126.90 
45,$59.10 ,$76.95 ,$129.50 ,$139.90 ,$148.95 ,$153.00 ,$157.90 ,$160.25 ,$165.45 ,$129.10 
46,$60.15 ,$78.25 ,$131.60 ,$142.00 ,$151.10 ,$155.45 ,$160.85 ,$163.25 ,$167.60 ,$130.95 
47,$61.20 ,$80.10 ,$133.65 ,$144.85 ,$154.10 ,$157.60 ,$163.05 ,$165.45 ,$170.30 ,$132.60 
48,$61.55 ,$80.10 ,$133.65 ,$146.65 ,$156.80 ,$160.85 ,$166.00 ,$168.45 ,$172.45 ,$133.95 
49,$63.00 ,$82.95 ,$137.55 ,$148.75 ,$159.50 ,$163.05 ,$168.45 ,$170.95 ,$176.25 ,$135.80 
50,$64.05 ,$85.05 ,$139.65 ,$151.35 ,$161.95 ,$165.75 ,$170.90 ,$173.45 ,$178.95 ,$138.50 
51,$65.35 ,$86.60 ,$142.25 ,$153.45 ,$165.20 ,$168.45 ,$173.85 ,$176.45 ,$181.90 ,$140.15 
52,$66.40 ,$88.65 ,$144.05 ,$156.30 ,$167.65 ,$171.40 ,$176.85 ,$179.50 ,$185.15 ,$142.30 
53,$67.70 ,$90.50 ,$146.15 ,$158.10 ,$170.05 ,$174.40 ,$179.80 ,$182.45 ,$188.10 ,$143.90 
54,$68.75 ,$92.05 ,$148.50 ,$160.20 ,$173.60 ,$177.40 ,$183.60 ,$186.30 ,$191.05 ,$146.60 
55,$69.80 ,$93.85 ,$150.55 ,$162.30 ,$175.75 ,$180.90 ,$186.30 ,$189.05 ,$193.50 ,$148.75 
56,$71.10 ,$95.95 ,$152.65 ,$164.10 ,$178.45 ,$183.60 ,$190.10 ,$192.90 ,$197.00 ,$150.65 
57,$72.40 ,$98.05 ,$155.50 ,$167.50 ,$181.15 ,$186.30 ,$193.10 ,$195.95 ,$199.95 ,$152.80 
58,$74.00 ,$99.85 ,$157.85 ,$169.55 ,$184.40 ,$189.55 ,$196.60 ,$199.50 ,$203.75 ,$155.50 
59,$75.05 ,$101.65 ,$160.70 ,$171.90 ,$186.85 ,$192.80 ,$199.85 ,$202.80 ,$206.70 ,$157.10 
60,$76.60 ,$103.25 ,$163.05 ,$174.50 ,$190.40 ,$196.60 ,$203.65 ,$206.65 ,$210.20 ,$159.00 
